flag_id,check,severity,cbsa_code,cbsa_title,year,measure,detail,dispositioned
7693fad728,cross_source_home_values,BLOCKER,41940,"San Jose-Sunnyvale-Santa Clara, CA",2023,zhvi_growth,"zhvi_growth -4.5% vs fhfa_hpi_growth +3.8% (centered diff -5.4%, z -3.9); verify boundary/source before publishing",False
9f30c5bbaa,cross_source_home_values,BLOCKER,41940,"San Jose-Sunnyvale-Santa Clara, CA",2024,zhvi_growth,"zhvi_growth +9.4% vs fhfa_hpi_growth +5.3% (centered diff +5.6%, z +4.1); verify boundary/source before publishing",False
fc788f2840,cross_source_population,BLOCKER,10740,"Albuquerque, NM",2016,acs_pop_growth,"acs_pop_growth +0.9% vs pep_pop_growth +0.4% (centered diff +0.7%, z +3.3); verify boundary/source before publishing",False
9c67687246,cross_source_population,BLOCKER,22220,"Fayetteville-Springdale-Rogers, AR",2017,acs_pop_growth,"acs_pop_growth +1.6% vs pep_pop_growth +2.4% (centered diff -0.9%, z -3.3); verify boundary/source before publishing",False
f2664aa73f,cross_source_population,BLOCKER,35620,"New York-Newark-Jersey City, NY-NJ",2017,acs_pop_growth,"acs_pop_growth +0.8% vs pep_pop_growth -0.1% (centered diff +0.8%, z +3.0); verify boundary/source before publishing",False
1936c7ad30,cross_source_population,BLOCKER,37860,"Pensacola-Ferry Pass-Brent, FL",2017,acs_pop_growth,"acs_pop_growth +0.4% vs pep_pop_growth +1.3% (centered diff -0.9%, z -3.6); verify boundary/source before publishing",False
e4a2080b39,cross_source_population,BLOCKER,22220,"Fayetteville-Springdale-Rogers, AR",2018,acs_pop_growth,"acs_pop_growth +3.4% vs pep_pop_growth +1.9% (centered diff +1.5%, z +4.2); verify boundary/source before publishing",False
eba6858900,cross_source_population,BLOCKER,35620,"New York-Newark-Jersey City, NY-NJ",2018,acs_pop_growth,"acs_pop_growth -1.7% vs pep_pop_growth -0.2% (centered diff -1.5%, z -4.0); verify boundary/source before publishing",False
273c3e1c6c,cross_source_population,BLOCKER,13820,"Birmingham, AL",2019,acs_pop_growth,"acs_pop_growth -5.3% vs pep_pop_growth +0.2% (centered diff -5.4%, z -3.1); verify boundary/source before publishing",False
4e359002bf,cross_source_population,BLOCKER,19780,"Des Moines-West Des Moines, IA",2019,acs_pop_growth,"acs_pop_growth +6.7% vs pep_pop_growth +1.3% (centered diff +5.5%, z +3.2); verify boundary/source before publishing",False
680bf0a9b3,cross_source_population,BLOCKER,20500,"Durham-Chapel Hill, NC",2019,acs_pop_growth,"acs_pop_growth +12.0% vs pep_pop_growth +1.2% (centered diff +10.9%, z +6.3); verify boundary/source before publishing",False
8e2d347478,cross_source_population,BLOCKER,22220,"Fayetteville-Springdale-Rogers, AR",2019,acs_pop_growth,"acs_pop_growth -3.2% vs pep_pop_growth +1.9% (centered diff -5.0%, z -2.9); verify boundary/source before publishing",False
b7d4e3db8a,cross_source_population,BLOCKER,45780,"Toledo, OH",2019,acs_pop_growth,"acs_pop_growth +6.5% vs pep_pop_growth -0.1% (centered diff +6.7%, z +3.9); verify boundary/source before publishing",False
0f55d14d86,cross_source_population,BLOCKER,13820,"Birmingham, AL",2023,acs_pop_growth,"acs_pop_growth +6.0% vs pep_pop_growth +0.4% (centered diff +5.9%, z +1.2); verify boundary/source before publishing",False
be43b8eeda,cross_source_population,BLOCKER,20500,"Durham-Chapel Hill, NC",2023,acs_pop_growth,"acs_pop_growth -8.3% vs pep_pop_growth +1.6% (centered diff -9.6%, z -1.9); verify boundary/source before publishing",False
1742a9057d,cross_source_population,BLOCKER,23420,"Fresno, CA",2023,acs_pop_growth,"acs_pop_growth +16.2% vs pep_pop_growth +0.5% (centered diff +16.1%, z +3.3); verify boundary/source before publishing",False
37c7ede217,cross_source_population,BLOCKER,24340,"Grand Rapids-Wyoming-Kentwood, MI",2023,acs_pop_growth,"acs_pop_growth +6.3% vs pep_pop_growth +0.7% (centered diff +5.9%, z +1.2); verify boundary/source before publishing",False
cedc00b1bc,cross_source_population,BLOCKER,25540,"Hartford-West Hartford-East Hartford, CT",2023,acs_pop_growth,"acs_pop_growth -5.7% vs pep_pop_growth +0.7% (centered diff -6.1%, z -1.2); verify boundary/source before publishing",False
7206afeec5,cross_source_population,BLOCKER,27140,"Jackson, MS",2023,acs_pop_growth,"acs_pop_growth +5.0% vs pep_pop_growth -0.1% (centered diff +5.4%, z +1.1); verify boundary/source before publishing",False
a448dcb328,cross_source_population,BLOCKER,31140,"Louisville/Jefferson County, KY-IN",2023,acs_pop_growth,"acs_pop_growth +6.2% vs pep_pop_growth +0.9% (centered diff +5.6%, z +1.1); verify boundary/source before publishing",False
bb7e718347,cross_source_population,BLOCKER,35300,"New Haven, CT",2023,acs_pop_growth,"acs_pop_growth -34.7% vs pep_pop_growth +0.5% (centered diff -34.9%, z -7.1); verify boundary/source before publishing",False
517ff07717,cross_source_population,BLOCKER,35380,"New Orleans-Metairie, LA",2023,acs_pop_growth,"acs_pop_growth -22.8% vs pep_pop_growth -0.9% (centered diff -21.6%, z -4.4); verify boundary/source before publishing",False
f64ecd9584,cross_source_population,BLOCKER,36260,"Ogden, UT",2023,acs_pop_growth,"acs_pop_growth -8.0% vs pep_pop_growth +1.1% (centered diff -8.7%, z -1.8); verify boundary/source before publishing",False
3abd349147,cross_source_population,BLOCKER,39900,"Reno, NV",2023,acs_pop_growth,"acs_pop_growth +12.6% vs pep_pop_growth +0.8% (centered diff +12.1%, z +2.5); verify boundary/source before publishing",False
ddc51c0d11,cross_source_population,BLOCKER,45780,"Toledo, OH",2023,acs_pop_growth,"acs_pop_growth -6.3% vs pep_pop_growth -0.0% (centered diff -5.9%, z -1.2); verify boundary/source before publishing",False
25aa32d424,cross_source_population,BLOCKER,49340,"Worcester, MA",2023,acs_pop_growth,"acs_pop_growth -11.6% vs pep_pop_growth +0.8% (centered diff -12.1%, z -2.5); verify boundary/source before publishing",False
2ed7dd4047,cross_source_population,BLOCKER,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",2024,acs_pop_growth,"acs_pop_growth +4.4% vs pep_pop_growth +1.9% (centered diff +2.0%, z +5.8); verify boundary/source before publishing",False
7dd6b8874c,cross_source_population,BLOCKER,36740,"Orlando-Kissimmee-Sanford, FL",2024,acs_pop_growth,"acs_pop_growth +4.3% vs pep_pop_growth +2.7% (centered diff +1.2%, z +3.6); verify boundary/source before publishing",False
5d31f30dc4,outlier_gate,BLOCKER,29820,"Las Vegas-Henderson-North Las Vegas, NV",2022,total_emp_growth,total_emp growth +9.6% is +4.1 sigma vs the 2022 metro median (+3.8%); blocked until dispositioned,False
c6ee79a607,outlier_gate,BLOCKER,46140,"Tulsa, OK",2016,per_capita_income_growth,per_capita_income growth -12.1% is -6.8 sigma vs the 2016 metro median (+2.1%); blocked until dispositioned,False
4274156ac7,outlier_gate,BLOCKER,22220,"Fayetteville-Springdale-Rogers, AR",2019,per_capita_income_growth,per_capita_income growth -4.6% is -5.8 sigma vs the 2019 metro median (+4.4%); blocked until dispositioned,False
