cbsa_code,cbsa_title,fred_id,year,ours,fred,pct_diff,note
41700,"San Antonio-New Braunfels, TX",SANA748BPPRIV,2023,16485,16357.0,0.00782539585498565,
41700,"San Antonio-New Braunfels, TX",SANA748BPPRIV,2024,14857,14582.0,0.018858867096420262,
41740,"San Diego-Chula Vista-Carlsbad, CA",SAND706BPPRIV,2023,11469,10944.0,0.04797149122807021,
41740,"San Diego-Chula Vista-Carlsbad, CA",SAND706BPPRIV,2024,11572,11568.0,0.0003457814661134151,
41860,"San Francisco-Oakland-Fremont, CA",SANF806BPPRIV,2023,7530,8132.0,-0.07402852926709291,
41860,"San Francisco-Oakland-Fremont, CA",SANF806BPPRIV,2024,5914,6268.0,-0.05647734524569237,
41940,"San Jose-Sunnyvale-Santa Clara, CA",SANJ906BPPRIV,2023,6227,6709.0,-0.07184379192129975,
41940,"San Jose-Sunnyvale-Santa Clara, CA",SANJ906BPPRIV,2024,4115,4290.0,-0.0407925407925408,
42660,"Seattle-Tacoma-Bellevue, WA",SEAT653BPPRIV,2023,17223,17619.0,-0.022475736420909276,
42660,"Seattle-Tacoma-Bellevue, WA",SEAT653BPPRIV,2024,17920,17681.0,0.013517334992364738,
44700,"Stockton-Lodi, CA",STOC706BPPRIV,2023,2170,2395.0,-0.09394572025052195,
44700,"Stockton-Lodi, CA",STOC706BPPRIV,2024,3779,3657.0,0.03336067815149035,
45300,"Tampa-St. Petersburg-Clearwater, FL",TAMP312BPPRIV,2023,25386,22960.0,0.10566202090592336,
45300,"Tampa-St. Petersburg-Clearwater, FL",TAMP312BPPRIV,2024,20950,21631.0,-0.031482594424668275,
46060,"Tucson, AZ",TUCS004BPPRIV,2023,5255,5280.0,-0.004734848484848508,
46060,"Tucson, AZ",TUCS004BPPRIV,2024,5250,5249.0,0.00019051247856727294,
46140,"Tulsa, OK",TULS140BPPRIV,2023,5009,5192.0,-0.03524653312788906,
46140,"Tulsa, OK",TULS140BPPRIV,2024,4311,4386.0,-0.017099863201094356,
47260,"Virginia Beach-Chesapeake-Norfolk, VA-NC",VIRG251BPPRIV,2023,6083,6093.0,-0.001641227638273457,
47260,"Virginia Beach-Chesapeake-Norfolk, VA-NC",VIRG251BPPRIV,2024,4406,4956.0,-0.11097659402744153,
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",WASH911BPPRIV,2023,23345,22075.0,0.05753114382785962,
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",WASH911BPPRIV,2024,21487,21188.0,0.014111761374362874,
