month,cbsa_code,yoy
2020-03,12940,-0.0003
2020-04,12940,-0.0006
2020-05,12940,0.0009
2020-06,12940,0.0024
2020-07,12940,0.0053
2020-08,12940,0.0101
2020-09,12940,0.0146
2020-10,12940,0.0189
2020-11,12940,0.0231
2020-12,12940,0.0276
2021-01,12940,0.0344
2021-02,12940,0.0405
2021-03,12940,0.0359
2021-04,12940,0.0451
2021-05,12940,0.0501
2021-06,12940,0.0589
2021-07,12940,0.0604
2021-08,12940,0.0675
2021-09,12940,0.0779
2021-10,12940,0.0906
2021-11,12940,0.0975
2021-12,12940,0.1042
2022-01,12940,0.1036
2022-02,12940,0.1104
2022-03,12940,0.11
2022-04,12940,0.1028
2022-05,12940,0.0974
2022-06,12940,0.0923
2022-07,12940,0.0927
2022-08,12940,0.0834
2022-09,12940,0.0627
2022-10,12940,0.0408
2022-11,12940,0.0274
2022-12,12940,0.0181
2023-01,12940,0.0149
2023-02,12940,0.0074
2023-03,12940,0.0089
2023-04,12940,0.0096
2023-05,12940,0.0128
2023-06,12940,0.0088
2023-07,12940,0.0021
2023-08,12940,-0.0036
2023-09,12940,0.0011
2023-10,12940,0.0136
2023-11,12940,0.0219
2023-12,12940,0.0259
2024-01,12940,0.0284
2024-02,12940,0.0252
2024-03,12940,0.0175
2024-04,12940,0.0119
2024-05,12940,0.0101
2024-06,12940,0.0138
2024-07,12940,0.0193
2024-08,12940,0.0291
2024-09,12940,0.0325
2024-10,12940,0.0325
2024-11,12940,0.0287
2024-12,12940,0.0289
2025-01,12940,0.0219
2025-02,12940,0.0263
2025-03,12940,0.0292
2025-04,12940,0.0359
2025-05,12940,0.0315
2025-06,12940,0.0269
2025-07,12940,0.0228
2025-08,12940,0.0181
2025-09,12940,0.0182
2025-10,12940,0.0123
2025-11,12940,0.0133
2025-12,12940,0.0113
2026-01,12940,0.0184
2026-02,12940,0.02
2026-03,12940,0.0231
2026-04,12940,0.021
2026-05,12940,0.0255
2018-01,13820,0.0287
2018-02,13820,0.0293
2018-03,13820,0.0312
2018-04,13820,0.0334
2018-05,13820,0.0366
2018-06,13820,0.0398
2018-07,13820,0.0367
2018-08,13820,0.0366
2018-09,13820,0.0294
2018-10,13820,0.0381
2018-11,13820,0.0362
2018-12,13820,0.0469
2019-01,13820,0.0434
2019-02,13820,0.0461
2019-03,13820,0.0404
2019-04,13820,0.0363
2019-05,13820,0.0343
2019-06,13820,0.0351
2019-07,13820,0.0393
2019-08,13820,0.0402
2019-09,13820,0.0426
2019-10,13820,0.0359
2019-11,13820,0.0344
2019-12,13820,0.0274
2020-01,13820,0.0308
2020-02,13820,0.0276
2020-03,13820,0.0386
2020-04,13820,0.0413
2020-05,13820,0.0387
2020-06,13820,0.0319
2020-07,13820,0.0334
2020-08,13820,0.0373
2020-09,13820,0.0423
2020-10,13820,0.0466
2020-11,13820,0.0521
2020-12,13820,0.0568
2021-01,13820,0.0594
2021-02,13820,0.0627
2021-03,13820,0.0518
2021-04,13820,0.0522
2021-05,13820,0.065
2021-06,13820,0.0837
2021-07,13820,0.0905
2021-08,13820,0.0928
2021-09,13820,0.0936
2021-10,13820,0.0962
2021-11,13820,0.0942
2021-12,13820,0.1018
2022-01,13820,0.1038
2022-02,13820,0.1073
2022-03,13820,0.1091
2022-04,13820,0.1098
2022-05,13820,0.1014
2022-06,13820,0.0897
2022-07,13820,0.0809
2022-08,13820,0.0758
2022-09,13820,0.0684
2022-10,13820,0.0616
2022-11,13820,0.0611
2022-12,13820,0.0493
2023-01,13820,0.0442
2023-02,13820,0.0397
2023-03,13820,0.0472
2023-04,13820,0.0509
2023-05,13820,0.0523
2023-06,13820,0.0512
